1;a;5;a
2;n;32435;a-bomb
3;u;41704;a-ha
4;r;47728;a-ok
5;n;39571;a-team
6;j;55233;a-to-z
7;u;54450;aaaah
8;u;42833;aaah
9;u;30500;aah
10;n;51507;aardvark
11;r;13187;aback
12;n;34578;abacus
13;n;29686;abalone
14;v;2195;abandon
15;j;6266;abandoned
16;n;10148;abandonment
17;v;50629;abase
18;n;53970;abasement
19;v;49621;abash
20;j;31658;abashed
21;v;13681;abate
22;n;17050;abatement
23;n;38886;abattoir
24;n;43717;abaya
25;n;32232;abbess
26;n;22874;abbot
27;v;24420;abbreviate
28;j;19440;abbreviated
29;n;21216;abbreviation
30;v;20190;abdicate
31;n;25852;abdication
32;n;9930;abdomen
33;j;10778;abdominal
34;v;11742;abduct
35;j;34987;abducted
36;n;28360;abductee
37;n;11316;abduction
38;n;25507;abductor
39;r;29941;abed
40;j;22702;aberrant
41;n;12836;aberration
42;j;55260;aberrational
43;v;15952;abet
44;n;32902;abeyance
45;v;17420;abhor
46;n;33072;abhorrence
47;j;24484;abhorrent
48;v;8613;abide
49;j;16242;abiding
50;n;783;ability
51;j;36163;abiotic
52;j;17214;abject
53;n;47990;abjection
54;r;48198;abjectly
55;v;34394;abjure
56;v;56121;ablate
57;n;32268;ablation
58;j;46255;ablative
59;j;17688;ablaze
60;j;385;able
61;j;17174;able-bodied
62;n;35095;ablution
63;r;22909;ably
64;n;51698;abnegation
65;j;8393;abnormal
66;n;11718;abnormality
67;r;19940;abnormally
68;i;5035;aboard
69;n;20309;abode
70;v;7615;abolish
71;n;40034;abolishment
72;n;14211;abolition
73;n;45173;abolitionism
74;n;17959;abolitionist
75;j;24195;abominable
76;r;44399;abominably
77;n;20183;abomination
78;j;10275;aboriginal
79;n;26071;aborigine
80;v;12771;abort
81;j;20855;aborted
82;j;56083;abortifacient
83;n;1979;abortion
84;j;31710;abortion-rights
85;n;28798;abortionist
86;j;24552;abortive
87;v;7810;abound
88;i;46;about
89;n;24937;about-face
90;j;57663;about-to-be
91;i;894;above
92;j;19744;above-average
93;j;20175;above-ground
94;j;49296;above-knee
95;j;52903;above-level
96;j;52610;above-market
97;j;24384;above-mentioned
98;j;48227;above-normal
99;n;45101;abracadabra
100;v;31699;abrade
101;j;54594;abraded
102;j;48023;abrahamic
103;n;19208;abrasion
104;j;57834;abrasion-resistant
105;j;17064;abrasive
106;n;49467;abrasiveness
107;j;17132;abreast
108;v;29272;abridge
109;j;33202;abridged
110;n;47150;abridgement
111;n;45700;abridgment
112;r;3385;abroad
113;v;23307;abrogate
114;n;31871;abrogation
115;j;8872;abrupt
116;r;5301;abruptly
117;n;36076;abruptness
118;n;9950;abs
119;n;20311;abscess
120;j;55594;abscessed
121;v;30462;abscond
122;n;2540;absence
123;j;5579;absent
124;j;28455;absent-minded
125;n;42145;absent-mindedness
126;n;13443;absentee
127;n;20379;absenteeism
128;r;15038;absently
129;r;25131;absentmindedly
130;n;38885;absinthe
131;j;3185;absolute
132;r;1150;absolutely
133;n;49130;absoluteness
134;n;25450;absolution
135;n;26326;absolutism
136;n;23221;absolutist
137;v;17829;absolve
138;v;3139;absorb
139;j;43537;absorbable
140;n;56030;absorbance
141;j;22204;absorbed
142;n;52854;absorbency
143;j;28130;absorbent
144;n;21794;absorber
145;j;18391;absorbing
146;n;8757;absorption
147;j;39917;absorptive
148;v;14315;abstain
149;n;40022;abstainer
150;j;49589;abstemious
151;n;26831;abstention
152;n;11066;abstinence
153;j;55860;abstinence-based
154;j;36724;abstinence-only
155;j;36456;abstinent
156;j;4038;abstract
157;j;28660;abstracted
158;r;50043;abstractedly
159;n;8568;abstraction
160;n;44074;abstractionist
161;r;27191;abstractly
162;n;52732;abstractness
163;j;33319;abstruse
164;j;5977;absurd
165;n;12739;absurdity
166;r;17669;absurdly
167;n;5485;abundance
168;j;6306;abundant
169;r;16739;abundantly
170;n;1545;abuse
171;j;14350;abused
172;n;10573;abuser
173;j;7245;abusive
174;r;50883;abusively
175;n;56830;abusiveness
176;v;19180;abut
177;n;35739;abutment
178;j;19487;abysmal
179;r;35316;abysmally
180;n;12177;abyss
181;j;34488;abyssinian
182;n;24980;acacia
183;n;22803;academe
184;n;11570;academia
185;j;1469;academic
186;r;9522;academically
187;n;22609;academician
188;j;33375;acadian
189;v;18864;accede
190;n;43083;accelerant
191;v;4973;accelerate
192;j;11081;accelerated
193;j;15436;accelerating
194;n;8164;acceleration
195;j;59470;accelerative
196;n;11758;accelerator
197;n;30658;accelerometer
198;n;4173;accent
199;j;26877;accented
200;j;59969;accentual
201;v;11154;accentuate
202;j;56240;accentuated
203;n;44845;accentuation
204;v;766;accept
205;n;15800;acceptability
206;j;3438;acceptable
207;r;34824;acceptably
208;n;3466;acceptance
209;j;6825;accepted
210;n;45312;acceptor
211;n;1114;access
212;n;10660;accessibility
213;j;4416;accessible
214;n;16954;accession
215;v;27848;accessorize
216;n;6518;accessory
217;n;1715;accident
218;j;42562;accident-prone
219;j;7610;accidental
220;r;7165;accidentally
221;n;12793;acclaim
222;j;11797;acclaimed
223;n;35325;acclamation
224;v;22911;acclimate
225;n;43867;acclimation
226;n;44353;acclimatization
227;v;40498;acclimatize
228;j;58963;acclimatized
229;n;15819;accolade
230;v;3745;accommodate
231;j;23352;accommodating
232;n;5429;accommodation
233;n;38998;accommodationist
234;j;48507;accommodative
235;n;11614;accompaniment
236;n;32759;accompanist
237;v;2454;accompany
238;j;7074;accompanying
239;n;13097;accomplice
240;v;2360;accomplish
241;j;9126;accomplished
242;n;4346;accomplishment
243;n;6154;accord
244;i;8233;accordance
245;i;478;according
246;r;5654;accordingly
247;n;15132;accordion
248;n;42013;accordionist
249;v;20095;accost
250;n;1072;account
251;n;4844;accountability
252;j;5784;accountable
253;n;40895;accountancy
254;n;6027;accountant
255;n;3951;accounting
256;n;34305;accouterments
257;n;22861;accoutrement
258;v;17215;accredit
259;n;10451;accreditation
260;j;18290;accredited
261;j;27931;accrediting
262;v;30392;accrete
263;n;18341;accretion
264;n;37206;accrual
265;v;12515;accrue
266;j;34553;accrued
267;v;28283;acculturate
268;n;12106;acculturation
269;j;37942;acculturative
270;v;5135;accumulate
271;j;12709;accumulated
272;j;36602;accumulating
273;n;8617;accumulation
274;j;40594;accumulative
275;n;41128;accumulator
276;n;4108;accuracy
277;j;2745;accurate
278;r;4946;accurately
279;j;30938;accursed
280;n;4917;accusation
281;j;26153;accusatory
282;v;2035;accuse
283;j;9589;accused
284;n;12967;accuser
285;j;29911;accusing
286;r;28875;accusingly
287;v;7717;accustom
288;j;8681;accustomed
289;j;13786;ace
290;j;53457;acellular
291;n;51688;acequia
292;j;25681;acerbic
293;r;57401;acerbically
294;n;55553;acetaldehyde
295;n;26524;acetaminophen
296;n;26503;acetate
297;j;36487;acetic
298;n;40609;acetone
299;n;31817;acetylcholine
300;n;38471;acetylene
301;u;31376;ach
302;j;59831;achaemenid
303;v;7853;ache
304;j;17435;achievable
305;v;1153;achieve
306;j;39803;achieved
307;n;2032;achievement
308;j;58091;achievement-oriented
309;j;45878;achievement-related
310;n;18504;achiever
311;j;14076;aching
312;r;27534;achingly
313;n;59362;achromat
314;j;52444;achromatic
315;j;36891;achy
316;n;3259;acid
317;j;53311;acid-fast
318;j;35466;acid-free
319;j;58799;acid-loving
320;j;14856;acidic
321;n;32650;acidification
322;v;42211;acidify
323;n;18296;acidity
324;r;36987;acidly
325;n;40212;acidophilus
326;n;37880;acidosis
327;n;58672;ackee
328;v;1660;acknowledge
329;j;14607;acknowledged
330;n;13826;acknowledgement
331;n;10139;acknowledgment
332;n;30942;acme
333;n;14345;acne
334;n;21724;acolyte
335;n;58943;aconite
336;n;16007;acorn
337;j;10436;acoustic
338;j;26403;acoustical
339;r;34608;acoustically
340;n;54758;acoustician
341;v;9846;acquaint
342;n;6358;acquaintance
343;n;41501;acquaintanceship
344;v;15773;acquiesce
345;n;18438;acquiescence
346;j;39050;acquiescent
347;v;2074;acquire
348;j;15635;acquired
349;n;37262;acquirer
350;n;3886;acquisition
351;j;31514;acquisitive
352;n;42024;acquisitiveness
353;v;10231;acquit
354;n;15875;acquittal
355;n;48810;acre-foot
356;n;13150;acreage
357;j;19607;acrid
358;j;22333;acrimonious
359;n;23821;acrimony
360;n;20300;acrobat
361;j;23616;acrobatic
362;n;26900;acrobatics
363;n;13952;acronym
364;n;29180;acropolis
365;i;377;across
366;j;20504;across-the-board
367;n;13175;acrylic
368;v;838;act
369;n;31873;actin
370;j;8542;acting
371;j;49243;actinic
372;n;502;action
373;j;40032;action-adventure
374;j;45802;action-movie
375;j;35655;action-oriented
376;j;32595;action-packed
377;j;27548;actionable
378;v;6195;activate
379;j;22638;activated
380;j;52459;activating
381;n;13360;activation
382;n;36248;activator
383;j;1448;active
384;j;24749;active-duty
385;j;45297;active-matrix
386;r;4345;actively
387;n;7208;activism
388;n;2611;activist
389;n;537;activity
390;j;43875;activity-based
391;n;1502;actor
392;n;3257;actress
393;j;1748;actual
394;n;15685;actuality
395;n;33788;actualization
396;v;24160;actualize
397;j;53341;actualized
398;r;396;actually
399;j;27665;actuarial
400;n;24967;actuary
401;v;32454;actuate
402;n;39188;actuation
403;n;17885;actuator
404;n;16445;acuity
405;n;18738;acumen
406;n;40892;acupressure
407;n;15883;acupuncture
408;n;28711;acupuncturist
409;j;5313;acute
410;j;36272;acute-care
411;r;11699;acutely
412;n;50578;acuteness
413;n;49410;acyclovir
414;n;1757;ad
415;j;51834;ad-free
416;j;40620;ad-hoc
417;v;41330;ad-lib
418;j;43324;ad-libbed
419;n;53230;ad-libbing
420;j;53852;ad-supported
421;n;16448;adage
422;n;37138;adagio
423;j;11541;adamant
424;j;54330;adamantine
425;r;16335;adamantly
426;v;2950;adapt
427;n;18102;adaptability
428;j;15365;adaptable
429;n;5250;adaptation
